Deity,Name,Meaning,
Shiva,Shivayogi, The ascetic lord,
Shiva,Rudraksha, The one with the Rudraksha beads,
Shiva,Yogeshwara, Lord of yoga,
Shiva,Kedar, The lord of Kedar,
Shiva,Shankara, The benefactor,
Shiva,Sadashiva, The eternal Shiva,
Shiva,Parameshvara, The supreme god,
Shiva,Vishwanath, Lord of the universe,
Shiva,Omkara, The embodiment of Om,
Shiva,Shivayogi, The ascetic lord,
Shiva,Rudraksha, The one with the Rudraksha beads,
Shiva,Yogeshwara, Lord of yoga,
Shiva,Aghora, The non-terrifying aspect,
Shiva,Hara, The remover of sins,
Shiva,Girish, Lord of the mountains,
Shiva,Jagadguru, Teacher of the world,
Shiva,Kailasadhvasi, Dweller of Mount Kailash,
Shiva,Kalabhairava, The fierce aspect of Bhairava,
Shiva,Rudranatha, Lord of Rudra,
Sai,Sai Natha, Lord Sai,
Sai,Prema Sai, Sai of Love,
Sai,Sathya Sai, True Sai,
Sai,Parthi Vihari, Resident of Puttaparthi,
Sai,Shirdi Sai, Sai of Shirdi (referring to his previous incarnation),
Sai,Sarva Dharma Prabhu, Lord of All Religions,
Sai,Sai Ram, Sai who is Ram (referring to the Hindu deity Rama),
Sai,Loka Natha, Lord of the Worlds,
Sai,Bhagavan, The Divine One,
Sai,Sai Krishna, Sai who is Krishna (referring to the Hindu deity Krishna),
Sai,Kaliyuga Avatar, The incarnation for the Kali Age,
Sai,Ananda Sai, Sai of Bliss,
Sai,Sarveshwara, Lord of All,
Sai,Daya Sagar, Ocean of Compassion,
Sai,Bhakta Vatsala, Lover of Devotees,
Sai,Sukshma Swarupa, The Subtle Form,
Sai,Vishwa Vandya, Adored by the Universe,
Sai,Shanti Data, Giver of Peace,
Sai,Sai Shiva, Sai who is Shiva (referring to the Hindu deity Shiva),
Sai,Guru Deva, Divine Teacher,
Sai,Prema Swarupa, Embodiment of Love,
Sai,Karuna Sindhu, Ocean of Compassion,
Sai,Sai Piteshwara, Sai  the Divine Father,
Sai,Omkara Swarupa, Embodiment of Om,
Sai,Sai Narayana, Sai who is Vishnu,
Sai,Sarvantaryami, The Indweller of All,
Sai,Sanathana Sarathi, The Eternal Charioteer,
Sai,Lokapalaka, Protector of the World,
Sai,Satya Dharma Parakrama, One with True Dharma and Valor,
Sai,Mangala Dayaka, Bestower of Auspiciousness,
Sai,Sundaresha, Beautiful Lord,
Sai,Sai Yogeshwara, Sai  the Lord of Yoga,
Sai,Prema Pradaata, Giver of Love,
Sai,Jnana Swarupa, Embodiment of Wisdom,
Sai,Sai Maheshwara, Sai  the Great Lord,
Vishnu, Narayana, The Cosmic Being,
Vishnu, Hari, The Remover,
Krishna, Govinda, Protector of Cows,
Krishna, Gopala, Cowherd,
Rama, Raghupati, Lord of the Raghu Dynasty,
Rama, Ramachandra, Moon-like Rama,
Shiva, Maheshwara, The Great Lord,
Shiva, Shankara, The Beneficent One,
Shiva, Nataraja, Lord of Dance,
Ganesha, Vinayaka, Remover of Obstacles,
Ganesha, Ganapati, Lord of the Ganas,
Ganesha, Ekadanta, Single-Tusked One,
Hanuman, Anjaneya, Son of Anjana,
Hanuman, Maruti, Son of the Wind God,
Durga, Mahishasura Mardini, Slayer of the Buffalo Demon,
Lakshmi, Sri, Goddess of Wealth and Prosperity,
Saraswati, Vagdevi, Goddess of Speech and Learning,
Subramanya, Kartikeya, Son of Shiva,
Subramanya, Murugan, The Divine Youth,
Dattatreya, Avadhuta, The Liberated One,
Shirdi Sai, Shirdi Ke Sai, Sai of Shirdi,
Shirdi Sai, Fakir, The Ascetic,
Sarva Dharma, Shakyamuni, Sage of the Shakya Clan,
Sarva Dharma, Yesu Prabhu, Lord Jesus,
Sarva Dharma, Rahman, The Merciful,
Sarva Dharma, Zarathustra, Golden Light,
Narayan, Padmanabha, Lotus-Naveled One,
Narayan, Venkateshwara, Lord of the Seven Hills,
Krishna, Mukunda, Giver of Liberation,
Krishna, Madhusudhana, Slayer of the Demon Madhu,
Rama, Kodanda Rama, Rama with the Bow,
Rama, Dasharathi, Son of Dasharatha,
Shiva, Chandrashekhara, Moon-Crested One,
Shiva, Gangadhara, Bearer of the Ganges,
Ganesha, Lambodara, The Large-Bellied One,
Ganesha, Heramba, Protector of the Weak,
Hanuman, Bajrangbali, The Strong-Bodied One,
Hanuman, Sankata Mochana, Remover of Troubles,
Devi, Chandika, The Fierce One,
Devi, Navadurga, Nine Forms of Durga,
Devi, Padma, The Lotus Goddess,
Devi, Bharati, Goddess of Learning,
Subramanya, Skanda, The Attacker,
Subramanya, Shanmukha, The Six-Faced One,
Dattatreya, Digambara, Sky-Clad One,
Shirdi Sai, Sai Kripa Sindhu, Ocean of Sai's Grace,
Devi, Bhadrakali, The Auspicious Kali,
Devi, Uma, The Bright One,
Brahma, Chaturmukha, The Four-Faced One,
Subramanya, Guha, The Secret One,
Narayan, Anantashayana, One who rests on the endless serpent,
Narayan, Keshava, The long-haired one,
Krishna, Devakiputra, Son of Devaki,
Krishna, Vasudeva, Son of Vasudeva,
Rama, Raghuvira, Hero of Raghu dynasty,
Rama, Sitapati, Lord of Sita,
Shiva, Nilakantha, The blue-throated one,
Shiva, Pashupati, Lord of animals,
Ganesha, Mushika Vahana, One whose vehicle is a mouse,
Ganesha, Vakratunda, One with the curved trunk,
Hanuman, Vayuputra, Son of the wind god,
Hanuman, Mahavira, The great hero,
Devi, Simhavahini, One who rides a lion,
Devi, Mahishasuramardini, Slayer of the buffalo demon,
Devi, Kamala, The lotus-dweller,
Devi, Sharda, Goddess of knowledge,
Subramanya, Shadanana, The six-faced one,
Parvati, Gauri, The fair one,
Brahma, Svayambhu, The self-born,
Subramanya, Kumara, The youth,
Sai,Dayamaya, Merciful,
Sai,Ananda, Blissful,
Sai,Sarva-antaryami, All-pervading,
Sai,Sarva-shakti, All-powerful,
Sai,Sarva-jnana, All-knowing,
Sai,Parama-pujya, Most worshipful,
Sai,Divya, Divine,
Sai,Bhagavan, Lord,
Sai,Sadguru, True teacher,
Sai,Jagad-guru, World teacher,
Sai,Loka-natha, Lord of the worlds,
Sai,Sarva-loka-palaka, Protector of all worlds,
Sai,Sarva-vyapi, Omnipresent,
Sai,Sarva-sakshi, Witness to all,
Sai,Sarva-swarupa, Embodiment of all,
Sai,Atma-swarupa, Embodiment of the soul,
Sai,Prema-swarupa, Embodiment of love,
Sai,Jnana-swarupa, Embodiment of wisdom,
Sai,Ananda-swarupa, Embodiment of bliss,
Sai,Shanti-swarupa, Embodiment of peace,
Sai,Bhakta-vatsala, Lover of devotees,
Sai,Abhayadata, Giver of fearlessness,
Sai,Karunasamudra, Ocean of compassion,
Sai,Premasagara, Ocean of love,
Sai,Jnanadata, Giver of wisdom,
Sai,Yogeshwara, Lord of yoga,
Sai,Sarveshwara, Lord of all,
Sai,Paramatma, Supreme soul,
Sai,Parabrahma, Supreme Brahman,
Sai,Purushottama, Supreme being,
Sarva Dharma,Jesus, Christian Messiah,
Sarva Dharma,Christ, Anointed One (Greek title for Jesus),
Sarva Dharma,Yesu, Jesus (as commonly pronounced in Indian languages),
Sarva Dharma,Isa, Jesus (Arabic name for Jesus  used in Islam),
Sarva Dharma,Allah, The God (in Islam),
Sarva Dharma,Rahman, The Merciful (attribute of Allah in Islam),
Sarva Dharma,Rahim, The Compassionate (attribute of Allah in Islam),
Sarva Dharma,Buddha, The Enlightened One,
Sarva Dharma,Tathagata, Thus Gone One (epithet of Buddha),
Sarva Dharma,Shakyamuni, Sage of the Shakya Clan (epithet of Buddha),
Sarva Dharma,Mahavira, Great Hero (last Tirthankara of Jainism),
Sarva Dharma,Zarathustra, Ancient Iranian prophet (founder of Zoroastrianism),
Sarva Dharma,Ahura Mazda, Wise Lord (God in Zoroastrianism),
Sarva Dharma,Moses, Hebrew prophet and lawgiver,
Sarva Dharma,Abraham, Patriarch in Judaism,
Sarva Dharma,Guru Nanak, Founder of Sikhism,
Sarva Dharma,Waheguru, Wonderful Lord (God in Sikhism),
Sarva Dharma,Yahweh, God in Judaism,
Sarva Dharma,Elohim, God (Hebrew term used in the Torah),
Sarva Dharma,Adonai, Lord (Hebrew term for God),
