Title,Deity,Level,Tempo,Language,Raga
Prathama Bhajoon Mein Ganapathi Sai,ganesha,,,sanskrit / hindi,
Prathama Ganapathi Pranamamyaham,ganesha,advanced,medium fast,sanskrit / hindi,hamsanandi / sohini
Prathama Namana Gana Nayaka,ganesha,,,sanskrit / hindi,
Prathama Poojya Deva Gajanana,ganesha,,,sanskrit / hindi,
Prathama Sharana Gananayaka,ganesha,,,sanskrit / hindi,desh
Prathama Sharana Gananayaka Om,ganesha,advanced,medium,sanskrit / hindi,miyan ki malhar
Prathama Vandana Gananatha,ganesha,advanced,medium slow,sanskrit / hindi,abheri / bhimpalas
Prathama Vandana Gowri Nandana,ganesha,advanced,slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Prathama Vandanam Ganapathi Devam,ganesha,,,sanskrit / hindi,"malayamarutham, chakravakam / ahir bhairav"
Sada Bhajami Ganeshwaram,ganesha,,,sanskrit / hindi,mayamalavagowla / bhairav
Sai Deva Sri Ganesha,ganesha,advanced,medium,sanskrit / hindi,maand
(Sathya) Sai Gajanana Tataeyou,ganesha,advanced,medium,japanese,major (hamsadhwani)
Sai Gananatha Jaya Gananatha,ganesha,simple,medium fast,japanese,minor (natabhairavi)
"Sai Ganapathi Jai, please help us find our way",ganesha,simple,medium,english,~ major (harikamboji)
Shambhu Kumara Gajanana,ganesha,,,sanskrit / hindi,shankarabharanam / bilawal
Shambhu Kumara Gowri Tanaya,ganesha,advanced,medium slow,sanskrit / hindi,gowri manohari / patdeep
Sharanam Sharanam Paahi Gajananam,ganesha,intermediate,medium slow,sanskrit / hindi,pahadi
Shinri no Kaze wo Uke Ai no Utagoe to tomoni,ganesha,advanced,medium fast,japanese,major (shankarabharanam / bilawal)
Shubha Mangala Dayaka Vinayaka ,ganesha,intermediate,medium slow,sanskrit / hindi,kalyani / yaman
Shuklambara Dharam Ganapathi Mantram,ganesha,simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Siddhi Ranjana Duritha Bhanjana,ganesha,intermediate,medium,sanskrit / hindi,harikamboji
Siddhi Vinayaka Mangala Daata,ganesha,advanced,medium,sanskrit / hindi,hamsanandi / sohini
Siddhi Vinayaka Paahi Gajanana,ganesha,intermediate,medium,sanskrit / hindi,surya
Siddhi Vinayaka Vidya Dayaka,ganesha,,,sanskrit / hindi,sindhu bhairavi / bhairavi
Sindhura Vadana Gajanana,ganesha,advanced,medium slow,sanskrit / hindi,kapi
Sri Gananatha Devadi Deva,ganesha,,,sanskrit / hindi,abheri / bhimpalas
Sri Gananatha Jaya Gananatha,ganesha,,,sanskrit / hindi,hindolam / malkauns
Sri Ganapathi Hari Om,ganesha,advanced,slow,sanskrit / hindi,madhuvanti
"Sri Ganesha Jaya Ganesha, Sadguru Deva Sai Ganesha","ganesha, rama, krishna, vittala, subrahmanya, guru",intermediate,medium fast,sanskrit / hindi,minor (sindhu bhairavi / bhairavi)
Sri Ganesha Jaya Ganesha Sathya Sai Deva,"ganesha, guru",,,sanskrit / hindi,
Sri Ganesha Shivuni Kumara Shritha Jana Vinuta Prabho,ganesha,intermediate,medium fast,telugu,sindhu bhairavi / bhairavi
Sri Ganesha Sri Ganesha Sri Ganesha Paahi Maam,ganesha,intermediate,medium fast,sanskrit / hindi,darbari
Sri Ganesha Vinayaka,ganesha,intermediate,medium,sanskrit / hindi,valaji / kalavati
Sri Sai Gananayakam Ganapathim,ganesha,advanced,medium,sanskrit / hindi,nattai
Sundara Mukha Sri Gajanana,ganesha,intermediate,medium fast,sanskrit / hindi,mishra vakulabharanam / basant mukhari
Sundara Sundara Vinayaka,ganesha,intermediate,medium fast,sanskrit / hindi,bowli
Suramuni Vanditha Vinayaka,ganesha,simple,fast,sanskrit / hindi,shankarabharanam / bilawal
"Susume Eichi no Hikari e, Shiva no Miko ni Tsuzuke",ganesha,intermediate,medium,japanese,major (shankarabharanam / bilawal)
"Sweet Ganesha, sweet Ganesha, dancing in my heart","ganesha, krishna, sai",simple,medium fast,english,minor (natabhairavi)
Tateyou Gananatha Warera no Uchi ni Hikaru Kami,ganesha,simple,medium,japanese,major (shankarabharanam / bilawal)
Tum Ho Vighna Vinasha Ganesha (3),ganesha,advanced,medium,sanskrit / hindi,gavati
Uma Maheshwara Kumara Ganapathi,ganesha,,,sanskrit / hindi,kapi
Uma Nandana Sri Ganesha,ganesha,,,sanskrit / hindi,
Vakratunda Bhajey Eka Dantha Bhajey Phaalachandra Bhajey Gananatha ,ganesha,advanced,medium fast,sanskrit / hindi,hemavati
Vakratunda Dhara Vighna Vinashaka Sri Ganesha Sri Ganesha,ganesha,advanced,medium slow,sanskrit / hindi,mishra sindhu bhairavi / bhairavi
Vakratunda Mahakaya Sri Ganesha Paahi Maam,ganesha,,,sanskrit / hindi,pantuvarali / puriya dhanashri
Vamana Roopa Ganadhipa,ganesha,advanced,medium fast,sanskrit / hindi,mishra shanmukhapriya
Vande Uma Nandanam Gajananam,ganesha,advanced,medium,sanskrit / hindi,kanada
Vighna Harana Prabhu Paahi Gajanana,ganesha,intermediate,medium slow,sanskrit / hindi,~ hamsadhwani
Vighna Vinashaka Deva,ganesha,,,sanskrit / hindi,hamsadhwani
Vighna Vinashaka Devadi Deva,ganesha,advanced,medium slow,sanskrit / hindi,mishra tilang
Vighna Vinashaka Gananatha,ganesha,advanced,medium,sanskrit / hindi,janasammohini
Vighna Vinashaka Vinayaka (3),ganesha,,,sanskrit / hindi,saramathi
Vighneshwara Gananatha Gajanana,ganesha,intermediate,medium slow,sanskrit / hindi,yaman kalyan
Vighneshwara Maha Devadi Deva,ganesha,intermediate,medium fast,sanskrit / hindi,abheri / bhimpalas
Vighneshwara Vinayaka,ganesha,advanced,medium,sanskrit / hindi,~ keeravani
Vighneshwaram Bhaja Vighneshwaram Sadguru Natham Gowri Sutham,ganesha,intermediate,medium slow,sanskrit / hindi,karaharapriya / kafi
Vighneshwaram Bhajorey Manasa Vighna Haram Bhajorey (2) ,ganesha,intermediate,medium fast,sanskrit / hindi,mayamalavagowla / bhairav
Vinayaka Shiva Bala,ganesha,,,sanskrit / hindi,
Vinayaka Vighna Nashaka,ganesha,intermediate,medium fast,sanskrit / hindi,keeravani
Vinayaka Vinayaka,ganesha,intermediate,medium,japanese,hamsadhwani
Vinayaka Vinayaka,ganesha,simple,medium,sanskrit / hindi,gavati
Vinayaka Vinayaka,ganesha,intermediate,medium,sanskrit / hindi,hamsadhwani
Warera no Yuku Te wo Terasu,ganesha,intermediate,medium fast,japanese,~ major (shankarabharanam / bilawal)
"We bow to Him who removes all obstacles,",ganesha,simple,medium,english,major (shankarabharanam / bilawal)
"We Pray To You Ganesha, Our Lord",ganesha,advanced,medium slow,english,major (shankarabharanam / bilawal)
"You take all the obstacles away, O Lord Gananatha",ganesha,simple,medium,english,major (shankarabharanam / bilawal)
Yuuki wo sazukeru Vinayaka,ganesha,intermediate,medium fast,japanese,~ minor (bilaskhani todi)
Aa Gyen Baba Ji Tvadde Naam De Bhikhari,"guru, sai",simple,medium fast,punjabi,sindhu bhairavi / bhairavi
Aao Aao Ganapathi Deva,"ganesha, guru",,,sanskrit / hindi,
Aao Sai Hrudaya Mandir Mey,"sai, guru",,,sanskrit / hindi,
Abhinandan Hai Sai Hamara,"sai, guru",,,sanskrit / hindi,
Adi Nama Sathyanarayana,"narayana, guru",,,sanskrit / hindi,
Ai no Guru Sai,guru,advanced,slow,japanese,minor (natabhairavi)
Allah Eshwar Ek Hi Naam,"sarva dharma, guru",,,sanskrit / hindi,
Allah Sai Maulah Sai,"sarva dharma, guru",advanced,medium slow,sanskrit / hindi,yaman kalyan
"Anata wa Watashi no Guru Baba, Guru Baba, O Ai no Kami",guru,advanced,slow,japanese,major (mohanam / bhoop)
Arul Tara Varuvai Guru Nada,guru,advanced,slow,tamil,chakravakam / ahir bhairav
Aruna Ramana Sri Guru Deva,guru,advanced,slow,sanskrit / hindi,charukeshi
Atma Jyothi Namo Paramatma Jyothi Namo,"sai, guru",simple,medium fast,sanskrit / hindi,mohanam / bhoop
Bando Sri Guru Sadguru Charanam,guru,,,sanskrit / hindi,
"Best of all, make our minds focus on Guru Sai","sai, guru",intermediate,medium,english,major (hamir kalyani / kedar)
Bhajarey Guru Natham Manasa Bhajorey Sai Natham,guru,simple,,sanskrit / hindi,hindolam / malkauns
Bhajo Ghana Shyam Bhajo Sita Ram Bhajo Sathya Sai Ram,"rama, krishna, sai, guru",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Bhajorey Guru Charanam,guru,,,sanskrit / hindi,mayamalavagowla / bhairav
"Bhajorey Manasa Guru Charanam, Guru Charanam, Sadguru Charanam",guru,intermediate,fast,sanskrit / hindi,vakulabharanam / basant mukhari
Bhajorey Manuva Sadguru Deva,"sai, guru",intermediate,medium,sanskrit / hindi,hamir kalyani / kedar
Bhajorey Sadguru Sai Charanam,guru,advanced,,sanskrit / hindi,shankarabharanam / bilawal
Bow To The Light Within To The Omnipresent Light Of God,"sai, guru",simple,medium fast,english,major (mohanam / bhoop)
Brahma Guru Sai Narayana Guru,guru,advanced,medium fast,sanskrit / hindi,kalyani / yaman
Brahmananda Guru Premananda Guru,guru,advanced,medium,sanskrit / hindi,~ tilak kamod
Buddha Mahavir Yesu Sai,"sarva dharma, guru",intermediate,slow,sanskrit / hindi,shankarabharanam / bilawal
Charana Kamala Bando Sai Nath Ke,"sai, guru",,,sanskrit / hindi,
Dakshina Murthim Sai Mahesham,"sai, guru",advanced,medium slow,sanskrit / hindi,sumanesa ranjani / madhukauns
Datta Guru Datta Guru Dattatreya Guru,guru,intermediate,medium fast,sanskrit / hindi,pilu
Dattatreya Sadguru Deva,guru,advanced,slow,sanskrit / hindi,shekara chandrika / gujari todi
Daya Karo Sadguru Sai Daya Karo,guru,advanced,slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Deena Natha Sai Guru Natha,guru,advanced,medium,sanskrit / hindi,brindavan sarang
Deva Deva,"sai, guru",,,sanskrit / hindi,
Eshwaramba Nandana Jagat Vidhata,"sai, guru",advanced,medium,sanskrit / hindi,~ yaman kalyan
Eshwaramba Nandana Sai Janardhana,guru,advanced,,sanskrit / hindi,bihag
Ganesha Charanam Parama Pavanam Sathya Sainam Gajananam,"ganesha, guru",intermediate,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Gangadhara Paahi Maam,"guru, shiva",,,sanskrit / hindi,
Govinda Bolo Guru Sai Bolo,guru,intermediate,medium fast,sanskrit / hindi,mayamalavagowla / bhairav
Govinda Sadguru Krishna Govinda (3),"guru, krishna",,,sanskrit / hindi,
Guru Baba Guru Baba,guru,simple,fast,sanskrit / hindi,harikamboji
Guru Baba Guru Baba,guru,simple,fast,japanese,~ major (harikamboji)
"Guru Baba, Guru Baba Tienes La Forma Del Amor,",guru,,,spanish,
"Guru Baba, Guru Baba, Sathya Sai Haha no Ai","sai, guru",simple,medium,japanese,minor (natabhairavi)
Guru Bhagawan Ai no Kami,guru,intermediate,medium,japanese,harmonic minor
Guru Bhagawan Sai Guru Bhagawan,guru,,,sanskrit / hindi,
Guru Bhagawan Sai Ram Sadguru Natha Sai Bhagawan,guru,,,sanskrit / hindi,
Guru Bhagawan Sai Ram Sadguru Natha Sri Bhagawan,guru,intermediate,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Guru Brahma Guru Vishnu Guru Devo Maheshwara,guru,,,sanskrit / hindi,mishra shivaranjani
Guru Brahma Guru Vishnu Guru Devo Maheshwara,guru,intermediate,medium fast,sanskrit / hindi,natabhairavi
Guru Brahma Guru Vishnu Guru Devo Maheshwara ,guru,intermediate,medium fast,sanskrit / hindi,hindolam / malkauns
Guru Charanam Sharanam Sharanam,guru,,,sanskrit / hindi,
Guru Deva Anata wa,guru,simple,medium slow,japanese,major and minor (shivaranjani)
Guru Deva Guru Deva,guru,simple,medium fast,sanskrit / hindi,pilu
Guru Deva Guru Govinda,guru,advanced,medium slow,sanskrit / hindi,shankara
Guru Deva Jaya Deva,guru,intermediate,medium,sanskrit / hindi,gavati
Guru Deva Priya Deva Sai Deva Dayamaya,guru,advanced,slow,sanskrit / hindi,darbari
Guru Deva Sai Guru Namah (3),guru,advanced,slow,sanskrit / hindi,charukeshi
Guru Deva Sharanam Deva,guru,simple,medium slow,sanskrit / hindi,shivaranjani
Guru Devaya Guru Devaya Guru Devaya ,guru,intermediate,medium,sanskrit / hindi,keeravani
Guru Devaya Namo Namo,guru,intermediate,medium slow,sanskrit / hindi,kalyani / yaman
Guru Hamarey Man Mandir Mey Guru Hamarey Pran,guru,,,sanskrit / hindi,keeravani
Guru Hara Guru Hari Guru Brahma,guru,intermediate,medium fast,sanskrit / hindi,~ desh
Guru Maharaj Guru Sathya Sai Natha Sadguru (3),guru,,,sanskrit / hindi,mayamalavagowla / bhairav
Guru Mahima Gao (3),guru,intermediate,medium,sanskrit / hindi,miyan ki malhar
Guru Mahima Guru Mahima Apaara Mahima Guru Mahima ,guru,,,sanskrit / hindi,
Guru Pada Ranjana Rama Jaya Jaya,"rama, guru",intermediate,medium,sanskrit / hindi,mayamalavagowla / bhairav
Guru Pada Vandana Guru Vandana,guru,intermediate,medium,sanskrit / hindi,kalyani / yaman
"Guru Sai Hikari no Naka ni, Tamashii no Naka ni Ai wo Toku",guru,intermediate,medium slow,japanese,major (shankarabharanam / bilawal)
Guru Sai Maheshwara,guru,advanced,slow,sanskrit / hindi,yaman kalyan
Gurudev Gurudev,guru,simple,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Gurudev Gurudev Sathya Sai Gurudev Gurudev Jai,"guru, sai",simple,medium,english,major (shankarabharanam / bilawal)
Guruvara Guruvara Sai Namo,guru,intermediate,medium,sanskrit / hindi,bihag
Guruvara Naam Pavana Naam,guru,intermediate,medium,sanskrit / hindi,~ karaharapriya / kafi
Harey Krishna Harey Rama,"krishna, rama, guru",simple,medium fast,sanskrit / hindi,major (shankarabharanam / bilawal)
Hari Guru Brahma Vishnu Maheshwara,"guru, shiva",,,sanskrit / hindi,
Hari Guru Natha Prabhu Guru Natha Partheesha Natha ,"sai, guru",simple,medium fast,telugu,shankarabharanam / bilawal
Hari Om Namo Shiva Shakthi Namo,guru,intermediate,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Heian no Hikari Sadguru Sathya Sai,guru,simple,medium fast,japanese,major (shankarabharanam / bilawal)
Hey Deena Bandhu Anatha Natha,"sai, guru",intermediate,,sanskrit / hindi,pilu
Hey Parthi Pureesha Prashanthi Vasa Sadguru Sai Ram,guru,simple,medium slow,sanskrit / hindi,vakulabharanam / basant mukhari
"I love You Swami, Swami I love You","sai, guru",simple,medium slow,"japanese, english",major (pahadi)
Itoshiki Guru yo Ai no Kamisama,guru,intermediate,medium,japanese,~ minor (pilu)
Its Your Maya Surrounding Me (2),"sai, guru",,,english,
Jagamey Sarvam Vishnu Mayam,"sai, guru",advanced,slow,sanskrit / hindi,shivaranjani
Jagat Guru Sadguru Sai Guru Deva,guru,,,sanskrit / hindi,chakravakam / ahir bhairav
Jai Jai Guru Deva Sri Sai Mahadeva (3),guru,intermediate,medium fast,sanskrit / hindi,darbari
Janardhana Jagannatha,"krishna, guru",,,sanskrit / hindi,madhyamavati / madhmad sarang
Jaya Ambe Jaya Ambe,"devi, guru",,,sanskrit / hindi,
Jaya Deva Jaya Deva Jaya Guru Deva,guru,,,sanskrit / hindi,kalyani / yaman
Jaya Guru Deva Prabhu Sai Deva,guru,intermediate,medium slow,sanskrit / hindi,vakulabharanam / basant mukhari
Jaya Guru Govinda Sadguru Govinda,guru,,,sanskrit / hindi,natakurinji
Jaya Guru Jaya Guru Sai Ram,guru,intermediate,medium,sanskrit / hindi,natabhairavi
Jaya Guru Natha Shiva Guru Natha,guru,simple,medium fast,sanskrit / hindi,tilak kamod
Jaya Guru Omkara,"guru, sarva dharma",advanced,slow,sanskrit / hindi,chakravakam / ahir bhairav
Jaya Guru Omkara Jaya Guru Omkara,guru,,,sanskrit / hindi,tilang
Jaya Guru Omkara Jaya Jaya Sadguru Omkara Om,guru,simple,fast,sanskrit / hindi,shankarabharanam / bilawal
Jaya Guru Sadguru Sri Sai Deva,guru,,,sanskrit / hindi,
Jaya Guru Shankara Girija Ramana,guru,,,sanskrit / hindi,kalyani / yaman
Jaya Guru Sri Guru Sadguru Sai,guru,,,sanskrit / hindi,
Jaya Jaya Jaya Hey Sri Guru Natha,guru,simple,medium fast,sanskrit / hindi,yaman kalyan
Jaya Jaya Sadguru Sai Sadashiva,"guru, shiva",intermediate,medium slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Jaya Narayana Sadguru Deva,guru,advanced,slow,sanskrit / hindi,bageshri
Jaya Sadguru Sai Ram Jaya Sai Mahadeva,guru,,,sanskrit / hindi,sindhu bhairavi / bhairavi
Jaya Sai Guru Deva Sai Guru Deva,guru,advanced,medium,sanskrit / hindi,mishra abheri / bhimpalas
Jaya Sai Guru Deva Sai Guru Deva,guru,advanced,medium,japanese,~ minor (abheri / bhimpalas)
Karuna Karo Sai Dev,guru,simple,medium,sanskrit / hindi,natabhairavi
Karunya Roopa Sri Sai Deva,guru,,,sanskrit / hindi,tilang
Manasa Bhajorey Guru Charanam,guru,simple,medium fast,sanskrit / hindi,yaman kalyan
Manasa Bhajorey Guru Charanam,guru,advanced,slow,sanskrit / hindi,~ shivaranjani
Manuva Bolo Guru Charanam Manasa Bhajarey Sai Charanam,guru,intermediate,medium fast,sanskrit / hindi,hindolam / malkauns
Mata Pitha Guru Bandhu Sakha Hari,"narayana, guru",intermediate,medium,sanskrit / hindi,kapi
Mata Pitha Guru Bandhu Sakha Hari,"sarva dharma, guru",intermediate,medium,sanskrit / hindi,pahadi
Naada Brahmam Sayeeshwaram,"guru, sai",advanced,medium slow,sanskrit / hindi,vibhas
Naama Smarana Anandam,"sai, guru",,,tamil,
Namami Shankara Shambho Maheshwara,guru,,,sanskrit / hindi,hamir kalyani / kedar
Naman Karoon Mein Guru Charanam,guru,simple,,sanskrit / hindi,kalyani / yaman
Naman Karoon Mein Guru Charanam Guru Charanam Sadguru Charanam,guru,intermediate,medium,sanskrit / hindi,~ bihag
Namasthey Namasthey Guru Maharaj,guru,simple,medium fast,sanskrit / hindi,mishra gara
Nandana Yadu Nandana Anandana Chitha Chandana,"krishna, guru",,,sanskrit / hindi,abheri / bhimpalas
Narayan Narayan Bhaja Mana Narayan,"narayana, guru",intermediate,medium fast,sanskrit / hindi,~ natabhairavi
Nayanon Mey Prem Dhaar Vachanon Mey Amrutha Dhaar,guru,simple,medium,sanskrit / hindi,pahadi
"O Bhagawan Guru Bhagawan Sathya Sai Ram, Sathya Sai Ram",guru,advanced,slow,japanese,minor (natabhairavi)
O Sai Baba Shirdi Sai Baba,"sai, guru",,,sanskrit / hindi,
Om Guru Natha Jai Guru Natha Sadguru Natha Om,guru,,,sanskrit / hindi,shankarabharanam / bilawal
Om Guru Natha Jaya Guru Natha,guru,,,sanskrit / hindi,sindhu bhairavi / bhairavi
Om Jai Jai Guru Sai Mukunda,guru,intermediate,medium,sanskrit / hindi,kalyani / yaman
"Om to the Inner Light, to my God's divine Light I bow","sai, guru",simple,medium fast,english,major (mohanam / bhoop)
"One guru, one guru, omnipresent God","guru, sarva dharma",simple,medium fast,english,major (shankarabharanam / bilawal)
Paaliya Hum Ne Sadguru Charanam,guru,intermediate,medium,sanskrit / hindi,kalyani / yaman
Parthi Pureeshwaram Parama Dayalam,"sai, guru",advanced,medium,sanskrit / hindi,shivaranjani
Parthipuri Gurudev Puttaparthipuri Gurudev,guru,,,sanskrit / hindi,
Pavana Pavana Sai Naam,"sai, guru",,,sanskrit / hindi,
Poornavatara Sai Guru Deva,guru,advanced,slow,sanskrit / hindi,kalyana vasantham
Praise to the Guru a channel of love,guru,simple,medium,english,major (shankarabharanam / bilawal)
Prathah Smaranam Sri Guru Charanam,guru,advanced,slow,sanskrit / hindi,vakulabharanam / basant mukhari
Prema Sai Parthi Sai,guru,advanced,medium,sanskrit / hindi,darbari
Prema Sudha Rasa Deejo Sai,"sai, guru",advanced,medium slow,sanskrit / hindi,gara
Renge no Miashi no Shikou no Kami yo,guru,simple,medium fast,japanese,minor (sindhu bhairavi / bhairavi)
Sada Shiva Sadguru Sai Deva,guru,,,sanskrit / hindi,
Sadguru Brahma Eien no Kami yo,guru,intermediate,medium,japanese,minor (darbari)
Sadguru Brahma Sanathana Hey,guru,intermediate,medium,sanskrit / hindi,darbari
Sadguru Brahma Vishnu Maheshwara,guru,advanced,medium slow,sanskrit / hindi,hamir kalyani / kedar
Sadguru Charanam Sada Smarami,guru,,,sanskrit / hindi,mayamalavagowla / bhairav
Sadguru Charanam Sankata Haranam,guru,,,sanskrit / hindi,darbari
Sadguru Dev Raaha Dikhao Prabhu,guru,intermediate,slow,sanskrit / hindi,yaman kalyan
Sadguru Naamam Madhura Mayam,guru,,,tamil,
Sadguru Nadane Va Va Va,guru,simple,medium fast,tamil,~ pilu
Sadguru Nathudey Maa Baba,guru,simple,medium fast,telugu,~ pilu
Sadguru Om Sadguru Om,guru,advanced,medium fast,sanskrit / hindi,punnagavarali
Sadguru Sai Ram Jai Bolo Sadguru Sai Ram,"guru, sarva dharma",intermediate,medium fast,sanskrit / hindi,karaharapriya / kafi
Sadguru Sai Saraswathi,"devi, guru",intermediate,medium,sanskrit / hindi,mishra tilang
Sadguru Sai Saraswathi,"guru, devi",,,sanskrit / hindi,
Sai Baba Sadguru Pranaam Pranaam,guru,intermediate,medium,english,major (shankarabharanam / bilawal)
Sai Guru Deva Janardhana,guru,simple,medium fast,sanskrit / hindi,harikamboji
Sai Natha Deena Natha Brahma Roopa Sadguru,guru,simple,medium fast,sanskrit / hindi,hamsadhwani
Sai Natha Guru Brahma Nath Guru Sathya Sai Deva,guru,,,sanskrit / hindi,yaman kalyan
Sai Natha Guru Govinda Sathya Sai Jaya Paramananda (3),guru,,,sanskrit / hindi,tilak kamod
Sai Pitha Aur Mata Sai,"sai, guru",advanced,slow,sanskrit / hindi,janasammohini
Sai Ram Sai Ram Sai Ram Bhajo,"guru, sarva dharma",intermediate,medium,sanskrit / hindi,natabhairavi
Sai Sai Smarana Karo,guru,simple,medium fast,sanskrit / hindi,pantuvarali / puriya dhanashri
Sai Satchidananda Guru ,guru,intermediate,fast,sanskrit / hindi,pantuvarali / puriya dhanashri
Sai Sathya Sai Sai Guru Deva,guru,,,sanskrit / hindi,
Sai Tero Naam Tero Naam,"sai, guru",intermediate,medium,sanskrit / hindi,"yaman kalyan, desh"
Sakshath Parabrahma Sai Guru Vandana Sathya Sai,guru,advanced,medium,sanskrit / hindi,abheri / bhimpalas
Sanathana Sarathey Sayeesha,"sai, guru",intermediate,medium slow,sanskrit / hindi,vakulabharanam / basant mukhari
Sapney Mey Aao Shyama Murari,guru,intermediate,medium slow,sanskrit / hindi,sindhu bhairavi / bhairavi
"Sat Naam, Vahey Guru (3x)",guru,intermediate,medium fast,punjabi,vakulabharanam / basant mukhari
Sathya Dharma Shanthi Prema Sab Ko Deejo,"sai, guru",intermediate,medium fast,sanskrit / hindi,mayamalavagowla / bhairav
Sathya Narayana Guru Deva,guru,,,sanskrit / hindi,
Sathya Sai Es Un Ser De Luz,"sai, guru",,,spanish,
Sathya Sai Padambujam Bhajorey Manasa Nirantharam,guru,advanced,medium fast,sanskrit / hindi,madhyamavati / madhmad sarang
Sathya Sai Shiva Shambho Shankara,"shiva, guru",advanced,medium slow,sanskrit / hindi,vasanthi / prateeksha
Sathya Sai Smaranam Smaranam Parthi Sai Smaranam,"sai, guru",advanced,slow,sanskrit / hindi,sindhu bhairavi / bhairavi
Sayi Engal Annaiyam Sayi Engal Tandaiyam,"sai, guru",,,tamil,
Shankara Shankara Samba Shiva,"shiva, guru",,,sanskrit / hindi,hamsanandi / sohini
Shankaram Bhajey Shankaram Bhajey,guru,simple,medium fast,sanskrit / hindi,mohanam / bhoop
Shanmukha Shanmukha Sai Sundara,"subrahmanya, guru",intermediate,medium fast,sanskrit / hindi,hindolam / malkauns
Sharanagatha Sai Paapa Haro,"sai, guru",,,sanskrit / hindi,
Sharanam Guru Deva,guru,,,sanskrit / hindi,hamsanandi / sohini
Sharanam Sharanam Sayeesha Sharanam,guru,advanced,medium,sanskrit / hindi,bageshri
"Sheetala Charanam Komala Charanam, Manjula Charanam Mama Guru Charanam",guru,intermediate,medium slow,sanskrit / hindi,kalyani / yaman
Shirdi Mahadeva Deva Shirdi Mahadeva,guru,intermediate,medium,sanskrit / hindi,kalyani / yaman
Shirdi Sai Parthi Baba,"sai, guru",intermediate,medium slow,sanskrit / hindi,pahadi
Soham Soham Dhyan Karo,"sai, guru",advanced,medium slow,sanskrit / hindi,kalyani / yaman
"Sri Ganesha Jaya Ganesha, Sadguru Deva Sai Ganesha","ganesha, rama, krishna, vittala, subrahmanya, guru",intermediate,medium fast,sanskrit / hindi,minor (sindhu bhairavi / bhairavi)
Sri Ganesha Jaya Ganesha Sathya Sai Deva,"ganesha, guru",,,sanskrit / hindi,
Sri Guru Jai Guru Sadguru Sai,guru,,,sanskrit / hindi,
Sri Guru Jaya Guru Sai Guru Deva,guru,,,sanskrit / hindi,
Sri Guru Jaya Guru Sai Sadguru,guru,,,sanskrit / hindi,
Anantha saṁsāra samudra tāra,guru,advanced,medium slow,sanskrit / hindi,"shivaranjani, shuddha saveri / durga, kalyani / yaman"
Sri Guru Parthi Vasa,"sarva dharma, guru",advanced,medium slow,sanskrit / hindi,brindavan sarang
Sri Hari Sai Gurudeva,guru,,,sanskrit / hindi,
Sri Rama Sai Rama Jaya Jaya Rama,"rama, guru",,,sanskrit / hindi,
Sri Sai Charanam Sathya Sai Charanam,"sai, guru",,,sanskrit / hindi,
Sri Sai Natha Guru Govinda,guru,simple,medium fast,sanskrit / hindi,hamsadhwani
Sri Sai Sharanam Sharanam Deva,guru,,,sanskrit / hindi,gowri manohari / patdeep
Srishti Sthithi Layakara Amrutotbhavakara,"sai, guru",,,sanskrit / hindi,hindolam / malkauns
Swagatham Swagatham Sri Sathya Paahi Suswagatham,"sai, guru",,,sanskrit / hindi,sindhu bhairavi / bhairavi
Swamiye Charanam Sharanam Ponnaiappa,"ayyappa, guru",intermediate,medium,tamil,vakulabharanam / basant mukhari
Tum Ho Allah Tum Ho Maulah,"sarva dharma, guru",,,sanskrit / hindi,
Tum Ho Anatha Nath Bhagawan,"sai, guru",advanced,medium slow,sanskrit / hindi,"tilang, sarasangi / nat bhairav"
Vahey Guru Vahey Guru Vahey Guru Bol,guru,advanced,medium slow,sanskrit / hindi,hamsanandi / marwa
Vahey Guru Vahey Guru Vahey Guru Ji Bolo,guru,simple,fast,sanskrit / hindi,~ shankarabharanam / bilawal
Vande Sai Sadguru Charanam,guru,,,sanskrit / hindi,darbari
Vol overgave kniel ik aan uw voeten neer,"guru, sai",simple,medium fast,dutch,major (yaman kalyan)
"Watashi wo Michibiku Guru Sai, Idaina Kami Sai Baba","sai, guru",simple,fast,japanese,major (shankarabharanam / bilawal)
Watashi wo Michibiku Shinri no Hikari,guru,simple,medium fast,japanese,major (mohanam / bhoop)
We Are Blessed We Are Blessed We Are Blessed,"sai, guru",simple,fast,english,major (shankarabharanam / bilawal)
Worship in your mind the Feet of the Guru,guru,simple,medium fast,english,major (yaman kalyan)
Worshipping in your mind at the Guru's Feet,guru,simple,medium fast,english,major (yaman kalyan)
Alleluia Allelu Alleluia,"sai, jesus",simple,medium,english,major (shankarabharanam / bilawal)
Angels We Have Heard On High,jesus,intermediate,medium,"english, latin",major (shankarabharanam / bilawal)
I Am One With The Heart Of The Mother,jesus,simple,slow,english,harmonic minor
Feliz Navidad (X3),jesus,simple,medium fast,"spanish, english",major (shankarabharanam / bilawal)
