Bhajan,Deity,Meaning,Level,Tempo,Language,Raga
Sai Bhavani Sai Bhavani Sai Bhavani Maa ,Devi,"Victory and salutations to Mother Sai, destroyer of bondage of
life and death, remover of fear, Durga, Laxmi, Saraswati and Gayatri.",simple,medium fast,sanskrit / hindi,natabhairavi
Sarva Mangala Sai Janani ,Devi,"Our most auspicious mother Sai who dwells in Puttaparthi is
none other than Parvathi the supreme Goddess and consort of Lord 
Shiva. She is also Saraswathi (Goddess of learning), Durga (The 
Goddess who vanquished the demon Mahishasura), Lakshmi (Goddess of 
wealth), Bhavani (another name for Durga), Naaraayani (Consort of 
Narayana). She is the supreme Goddess and Mother of the universe. 
Victory to Thee Mother (in Your task of redeeming mankind).",advanced,slow,sanskrit / hindi,natabhairavi
Sathya Swaroopini Maa Sai Prema Swaroopini Maa ,Devi,"Mother Sai, embodiment of truth and love; Blissful,
compassionate mother, she dwells within the heart and as Mother 
Sai she resides in Puttaparti; Remover of obstacles and 
destroyer of worldly fears, Goddess Kali the protector; Bearer 
of the three worlds, the giver of auspiciousnes and granter of 
liberation; Blissful, compassionate mother, Mother Sai who resides in Puttaparti.",intermediate,medium,sanskrit / hindi,shankarabharanam / bilawal
Sayeeshwari Amba Jagadeeshwari ,Devi,"Pray and worship Divine Mother Sai, Mother of Universe; Mother Kalyani
of Kanchipuri; Mother Matangi of Madhurapuri; Mother Kamakshi and Mother Meenakshi",intermediate,medium slow,sanskrit / hindi,kalyani / yaman
Shaamba Vinodini Shiva Sai Shankari ,Devi,"Oh Sai Shankari! You are confering joy to Lord Sambha Shiva.
Chant the names of Mother: Gauri, Maheshwari, Akhilandeswari (all pervading), 
and Raja Rajeswari. Oh ocean of mercy and extremely graceful Mother! Bestow auspiciousness",advanced,medium fast,sanskrit / hindi,suryakantham
Shambhavi Shankari Namo Namo ,Devi,"Pay obeisance by bowing to Mother: Shambhavi, Shankari, Sathya Sai
Maheswari, whose Form is Bliss. Bow again and again.",,,sanskrit / hindi,sunada vinodini / hindol
Sharadey Jaya Sharadey Vaag Vilaasini Sharadey ,Devi,"Oh Mother Sharada (Parvathi), hail to Thee! Victory to Thee,
Mother, who bestows intelligence. Victory to Thee, Mother, 
who bestows wisdom. Victory to You, Mother of Vedas",advanced,medium fast,sanskrit / hindi,kalyani / yaman
Simha Vaahini Trishoolini ,Devi,"Oh Mother Durga! Oh Holder of Trident ! Thy vehicle is Lion. Oh Shiva
Shankari(consort of Lord Shiva) thou art sustainer and protector of 
good and virtuous persons. Chant the name of ever blissful Sathya Sayeeshwari.",intermediate,medium,sanskrit / hindi,shivaranjani
Sundara Vadani Suguna Manohari ,Devi,"With beautiful face and the purest of virtues the Divine Mother
enchants us; Her smiling face is radiant and tranquil as the 
full moon; Adorned with sandalwood paste and kum-kum; Supreme 
Goddess, queen of queens, Divine Mother Sai.",advanced,medium fast,sanskrit / hindi,mohanam / bhoop
Triloka Paalini Jagadeeshwari ,Devi,"Oh Sai! Mother of the Universe - ever in blissful form is the
protector of the Three Worlds. Dweller in Parthi. Thou art charming and compassionate.",intermediate,medium slow,sanskrit / hindi,mayamalavagowla / bhairav
Tripura Sundari Maa Amba Dayaa Saagari Maa ,Devi,"Oh Mother, Oh bewitching beauty, destroyer
of the three worlds, Satwa, Rajas and Tamas; You are an ocean of 
kindness and compassion; You have such a lovely and radiant face; 
You are so charming and so full of great qualities; You are the 
uplifter of the whole world; You provide salvation to those that 
have sinned; Oh Mother who lives in Puttaparthi, victory to You (in 
your efforts to redeem mankind",advanced,medium slow,sanskrit / hindi,shivaranjani
Vaishnavi Maa Varaahi Maa ,Devi,"Mother Lakshmi, gives us bliss, Mother Saraswathi, Queen of the
Universe, Mother Sai, embodiment of divine power who gives us peace and happpiness",intermediate,medium fast,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Veena Vaadhini Saraswathi Maa ,Devi,"Victory to Mother Saraswati, holding the Veena, mother of all
creation, giver of life, Mother Sai protect us",,,sanskrit / hindi,natabhairavi
Vinathi Suno Vinathi Suno ,Devi,"Listen to my prayer. Listen, please listen, again and again to my
prayer, Oh Mother! Grantor of contentment and fulfilment and 
destroyer of danger. Oh Blissful Mother Sai! Thou love good and 
virtuous persons. Worship enchanting Mother Sai.",advanced,,sanskrit / hindi,shivaranjani
Atma Lingam Bhajorey (Athi) Adbhutha Lingam Bhajorey ,Shiva,"Sing in praise of Atma Lingam. Lingam representing the Snakes
and nine precious stones, the Lingam that has emerged out of His 
navel. Sing in praise of the Eshwara and Parthiswara Lingam.",simple,medium fast,sanskrit / hindi,~ shankarabharanam / bilawal
Bhasma Vibhooshitha Bhavani Shankara ,Shiva,"Worship Lord Shankar - Lord of Bhavani, Who has sacred ashes
smeared all over the body ( a sign of highest renunciation). 
Easy to please Lord Shankar destroys the fear of cycle of birth 
and death. Chant the mantra, ""Har Har Shankar Sai Shiva"" and 
""Om Namah Shivaya Shivaya Namah Om",intermediate,medium fast,sanskrit / hindi,vakulabharanam / basant mukhari
Bhasma Bhooshithanga Sai Chandra Shekharaa ,Shiva,"Worship the charming Lord Sai: Who wears sacred holy ashes all
over Him; Who is decorated with Moon on Head; Who has third 
spiritual eye on forehead; and Who holds Trident (representing 
three phases each of, time, space and attributes). O King among 
the dancers! O Charming One! Virtuous persons adore and 
worship Thee. Chant the name of Lord Sathya Sai Shankar, Resident of Parthipuri and Lord of Lords.",advanced,medium fast,sanskrit / hindi,revathi / bhairagi bhairav
Bhola Bhandaari Baba Shiva Shiva Sai Baba ,Shiva,"O Lord Sai Baba! Thou art the support, sustainer and shelter of
fallen and miserable ones. Chant the names of Lord Yogeshwar, 
Sai, Murari. Who is always blissful, happy and loving.",intermediate,medium fast,sanskrit / hindi,mayamalavagowla / bhairav
Bhola Naathha Hare Jagadeesha ,Shiva,"Lord who gives all that is asked, Lord of all creation;
Dwelling in the purity and peace of Mt. Kailas, Shiva, Lord of 
Uma, Great God; One who destroys fear by removing the veil of 
ignorance; Shiva, source of the purifying waters of the Ganges, 
our Sai; Lord who gives everything, Lord Sai, Lord Sai.",intermediate,medium,sanskrit / hindi,natabhairavi
Bhola Naathha Shambhoo Shankara ,Shiva,"Chant the name of Easy-to-please Lord Sai Shankara, Shambhoo,
Maheswara. Beautiful Lord Shankara gently dancing to the rhythmic beats of Damaru (Drum).",intermediate,medium slow,sanskrit / hindi,vakulabharanam / basant mukhari
Bolo Bolo Submil Bolo Om Namah Shivaaya ,Shiva,"Sing, sing, everyone in worship of Lord Shiva; Bow, surrender
to Lord Shiva; He bears the Ganges in his twisted locks of hair; 
He holds the trident, his damaru (drum) plays ""Dama Dama""; The 
atmosphere echoes with Shiva's name; Bow, surrender to Lord Shiva.",intermediate,fast,sanskrit / hindi,natabhairavi
Chandra Shekaraaya Namah Om ,Shiva,"To Lord Shiva, who bears the crescent moon, we bow; The
celestial Ganges descends from his matted locks: to him we bow; 
To the Lord who destroys darkness, we bow and surrender; To the 
supreme Lord Shiva, we offer ourselves; To the supreme Lord Sai, 
we bow in reverence and surrender.",advanced,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Dam Dam Dam Dam Damaru Bhajey ,Shiva,"In esctacy,drum (Damaru) beats 'Dam Dam Dam' and bell rings, 'Ghan
Ghan Ghan'. Worship Lord: Shiva; Sai; Shambhoo and Shankara.",intermediate,,sanskrit / hindi,pahadi
Dam Dam Dam Dam Damaru Bhajey ,Shiva,"The drum beats the sound of ""dam dam""; It plays in worship of
Shiva; The gong rings out the sound of ""ghan ghan""; It sings in 
worship of Shiva; It sings in worship of Lord Sai, who is Shiva incarnate).",intermediate,,sanskrit / hindi,pahadi
Dama Dama Dama Dama Damaru Bhajey ,Shiva,"The Damaru (the rattle that Shiva holds in His hands) is beating;
And Lord Shanakara is dancing (His cosmic Dance); The drums are beating 
And Pralayankara (Shiva - the one who brings about Pralaya at the end of Yugas) is dancing; 
The One who lives in the snow clad mountains is dancing; Lord Shiva is dancing",advanced,medium slow,sanskrit / hindi,~ darbari
Dama Dama Dama Dama Damaru Bhajey ,Shiva,"The Damaru (the rattle that Shiva holds in His hands) is beating;
And Lord Shanakara is dancing (His cosmic Dance); The drums are beating 
And Pralayankara (Shiva - the one who brings about Pralaya at the end of Yugas) is dancing; 
The One who lives in the snow clad mountains is dancing; Lord Shiva is dancing",intermediate,,sanskrit / hindi,pahadi
Dama Dama Damaru Damuru Naathha Shiva ,Shiva,"King of Dance, Lord Shiva loves the sound of the Drum, Dam Dam
Dam, Dhim, Dhim, Dhim and Bhum Bhum Bhum. Chant the name of 
easy-to-please Lord Shiva, Shankara, Shambhoo and Lord Sai Naathha.",advanced,medium slow,sanskrit / hindi,mayamalavagowla / bhairav
Dayaa Karo Bhagawan Shankara Dayaa Karo Bhagawan ,Shiva,"O Lord Shankar, have mercy on us, the three-eyed one, holding
the three-pronged Trident, holding the Ganges in Your hair. O 
enchanter of mother nature; O! Blue necked one, thou hast the moon as decoration of forehead. Have mercy.",intermediate,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Deena Naathha Shankara ,Shiva,"Chant the name of Lord Shankara: Who is Protector of
miserables and afflicted; Who is Ocean of compassion; Who is 
resident of Kailasa mountain; and Who is Lord of Lords, Lord Sai residing in Parthipur.",advanced,medium slow,sanskrit / hindi,tilang
Dhim Dhim Dhimi Dhimi Natana Shiva ,Shiva,"O Lord Shiva, the lover of the rhythmical dance, The performer of cosmic Dance, Tandava
Who has taken the human form as if for sport (lila) 
O Sai Shiva, the Lord who brings up the Lingam by His Divine Will 
O Sai, the Young (Bala) Shiva",intermediate,medium fast,sanskrit / hindi,tilang
Gauri Shankara Parvathi Shankara ,Shiva,"Oh Lord Shankara, Lord of Gauri (Parvathi)! Oh the One who wears moon in His head!
The One who drank the deadly Haalahala poison! The One having three eyes, the One having Ganga in His head! 
Oh Lord, Hara Hara Shankara (Shiva), Oh Lord Sai Shiva",,,sanskrit / hindi,
Hara Hara Gangey Hara Hara Gangey ,Shiva,"This is a namavali or a string of God's names. It describes
Lord Shiva and says ""Victory to You, Shiva"".",intermediate,medium fast,sanskrit / hindi,~ natabhairavi
Hara Hara Hara Hara Mahaadeva ,Shiva,"Glory to the great God Shiva! Chant the auspicious name ""Shiva""
You are worshipped by all the other aspects of God - Brahma and Vishnu worship You 
You are served by Your consort, the Divine Mother Uma 
and by Your sons, Ganesha and Sharavana (Subramaniam) 
All praise, glory and homage to Shiva!",intermediate,slow,sanskrit / hindi,keeravani
Hara Hara Hara Hara Namaami Shankara Bhajamana Sai Ram ,Shiva,"Sing (chant) the name of Shiva, the name of Sai. Sing (chant) the name of Sai Ram",intermediate,fast,sanskrit / hindi,mohanam / bhoop
Hara Hara Hara Hara Saamba Shiva ,Shiva,"Oh Lord Shiva (Hara and Sambha are names of Shiva), Oh Sai Shiva
Thou art adorned with Vibhuthi (sacred ash), You are consort of 
Gauri (Parvathi), You wear Ganga (Goddess of river Ganges) on 
your locks, You have a trident in Your hands and You are the 
three eyed God. Oh Sai, Lord of Puttaparthi, You are Sai Shiva",intermediate,medium,sanskrit / hindi,mohanam / bhoop
Hara Hara Shankara Namaami Shankara ,Shiva,"O Lord Sai Shankar! Resident of Kailasa (pure hearts) and loving Lord
of Uma (Parvati); bearer of Holy river Ganges in Thy matted hair locks; 
Thou wear moon on forehead; we bow to Thee).",,,sanskrit / hindi,shankara
Hara Hara Shankara Saamba Sadaa Shiva Esha Mahesha ,Shiva,"Chant the many names of the Lord: Shankar, Shambha Sada Shiva and Mahesha.
O Lord Mahesh! Thou art fond of Tandava Dance (cosmic dance). You are adorned 
with Moon as decoration on Your forehead. Thou art worshipped by the darling 
son of Mother Amba - Lord Ganesh,the One with a pot belly. Thou art the resident of the Himalayas",advanced,slow,sanskrit / hindi,~ darbari
Hari Hari Om Shiva Shankara Om ,Shiva,"Glory to Hari, Shiva, Keshava who are different forms of the
Divine Power which is Om. He is the Omnipresent indweller of all beings",simple,medium fast,sanskrit / hindi,~ shankarabharanam / bilawal
Hari Hari Om Shiva Shankara Om ,Shiva,"Glory to Hari, Shiva, Keshava who are different forms of the
Divine Power which is Om. He is the Omnipresent indweller of all beings",simple,medium fast,sanskrit / hindi,~ shankarabharanam / bilawal
Hari Om Namah Shivaaya ,Shiva,We bow to Sai who is Hari and Shiva,simple,medium fast,sanskrit / hindi,natabhairavi
Hari Om Namah Shivaaya ,Shiva,We bow to Sai who is Hari and Shiva,advanced,slow,sanskrit / hindi,hindolam / malkauns
Hari Om Namah Shivaaya ,Shiva,"Chant the sacred mantra, Om Namah Shivaya",simple,medium fast,sanskrit / hindi,natabhairavi
Hari Om Namah Shivaaya ,Shiva,"Chant the sacred mantra, Om Namah Shivaya",advanced,slow,sanskrit / hindi,hindolam / malkauns
Hari Om Namah Shivaaya ,Shiva,"Chant the sacred mantra, Om Namah Shivaya. Chant the sacred Name of Sai Shankara,
Who is the Lord of Puttaparthi",simple,medium fast,sanskrit / hindi,natabhairavi
Hari Om Namah Shivaaya ,Shiva,"Chant the sacred mantra, Om Namah Shivaya. Chant the sacred Name of Sai Shankara,
Who is the Lord of Puttaparthi",advanced,slow,sanskrit / hindi,hindolam / malkauns
Hari Om Namo Shiva Shakti Namo ,Shiva,"I bow to Hari, Shiva and Shakti; I bow to Lord Sathya Sai who is the true teacher
I bow to Seetha and Rama; I bow to the dark blue Lord Krishna, Radha's Lord",intermediate,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Hey Indu Shekhara Raaja Shiva Raaja Shankara ,Shiva,"Chant the name of the moon-crested Lord Shiva, Shankar, Lord of
all Lords, Who holds the mighty powerful ""Pinaka"" Trident.",simple,medium,sanskrit / hindi,keeravani
Hey Shiva Shankara Namaami Shankara Shiva Shankara Shambo ,Shiva,"I bow to Lord Shiva, bestower of good fortune, O Lord of Girija, Parvati's Lord Shiva",simple,medium fast,sanskrit / hindi,~ harikamboji
Jagadeesha Harey Jaya Ho ,Shiva,"Victory and glory to the Lord of creation, upholder of the
universe, Allah, Jesus, Nanak and Sai are names for one God, 
Indwelling Lord, lover of all religions (Buddha, Mahaveera, 
Zoraster etc) and resident at Prashanti Nilayam, we hail Your glory",intermediate,medium fast,sanskrit / hindi,chandrakauns
Jagadeesha Harey Jaya Ho ,Shiva,"Victory and glory to the Lord of creation, upholder of the
universe, Allah, Jesus, Nanak and Sai are names for one God, 
Indwelling Lord, lover of all religions (Buddha, Mahaveera, 
Zoraster etc) and resident at Prashanti Nilayam, we hail Your glory",intermediate,medium fast,sanskrit / hindi,chandrakauns
Jaya Ho Jaya Ho Lingeshwaraa ,Shiva,"Glory to the Lord of the Linga; Glory to the Lord Sai; Glory to the One who is beyond death;
Glory to Lord Sai",simple,fast,sanskrit / hindi,pahadi
Jaya Jagadeesha Harey Jaya Govinda Harey ,Shiva,"Victory be to the Lord of the Universe. Victory be to
Govinda. Victory be to the eternal blissful cowherd boy Krishna. 
Victory be to Lord Shiva who is carrying a trident and dwells on 
the Arunachala mountain. Victory be to Sai Narayana. Victory be 
to Goddess Parvathi who carries and sustains the whole world.",advanced,medium slow,sanskrit / hindi,mohanam / bhoop
Jaya Jagadeesha Harey Prabhuvaraa ,Shiva,"O Lord of the Universe! O Lord of Bhavani! Thou art the destroyer of
our sins. Thy abode is the Kailash mountains (pure hearts of devotees) 
Thou wear Moon as decoration on Thy head and art easily won through love and devotion",intermediate,medium,sanskrit / hindi,hindolam / malkauns
Jaya Jaya Jaya Jagadeesha Mahesha ,Shiva,"Victory to Thee, Lord of the Universe, Shiva!
Victory to the One living at Kailasa (mountain in Himalayas, the 
abode of Shiva). Victory to Lord Sainath. Victory to the One who is without beginning or end",advanced,medium slow,sanskrit / hindi,darbari
Jaya Jaya Shankara Hara Hara Shankara ,Shiva,"Victory to Shankara, Hara Shankara (Shiva). Victory to the chief of Gods (Shiva).
Victory to You Oh Shiva, Oh Sadashiva - the One immersed in Bliss",intermediate,medium fast,sanskrit / hindi,tilang
Jaya Partheesha Jaya Paramesha ,Shiva,"Hail and victory to the supreme Lord of Puttaparthi, to the one
who bears the Ganges, Gauri's Lord, Shiva, Sai who is Shankara, 
whose hair supports the Ganges and whose feet confer victory. Please grace me as I worship Your Feet",advanced,medium,sanskrit / hindi,maand
Jaya Partheesha Jaya Paramesha ,Shiva,"Hail and victory to the supreme Lord of Puttaparthi, to the one
who bears the Ganges, Gauri's Lord, Shiva, Sai who is Shankara, 
whose hair supports the Ganges and whose feet confer victory. Please grace me as I worship Your Feet",intermediate,slow,sanskrit / hindi,mohanam / bhoop
Jaya Sai Shankara Jaya Abhayankara ,Shiva,"Glory to Sai who is Shiva, bestower of fearlessness, the
unchanging eternal Lord, bearer of the Ganges and the sacred moon, Shiva who wears a tiger skin.",,,sanskrit / hindi,shankara
Jaya Sai Shankara Jaya Abhayankara ,Shiva,"Glory to Sai who is Shiva, bestower of fearlessness, the
unchanging eternal Lord, bearer of the Ganges and the sacred moon, Shiva who wears a tiger skin.",intermediate,medium,sanskrit / hindi,~ hindolam / malkauns
Jayathu Shiva Natana Shiva ,Shiva,"Victory to Shiva, the great cosmic dancer. Victory to the Lord
of Lords, the chief of Gods. Victory to the One whose body is 
smeared with sacred ash, the One who has the crescent shaped moon in his locks",intermediate,medium,sanskrit / hindi,hamsadhwani
Kaalaatheethaaya Siddhiroopaaya Yogeshwaraaya Namo ,Shiva,"We bow to the Lord of all Yogis, the eternal one beyond time,
the One with infinite power, who is beyond the world and who 
has the universe as his form. We bow to Lord Shiva, embodiment of Om.",advanced,fast,sanskrit / hindi,mohanam / bhoop
Kailaasa Pathey Bhagawaan Shankara ,Shiva,"O Lord Sai! Resident of Kailasha (wherever there's purity).
Compassionate and benevolent towards the fallen. O Blue-necked 
One! Holder of Trishool! Bearer of Ganga in Thy matted hair.",advanced,medium slow,sanskrit / hindi,chakravakam / ahir bhairav
Kailaasa Pathey Bhagawaan Shankara ,Shiva,"O Lord Sai! Resident of Kailasha (wherever there's purity).
Compassionate and benevolent towards the fallen. O Blue-necked 
One! Holder of Trishool! Bearer of Ganga in Thy matted hair.",advanced,medium slow,sanskrit / hindi,chakravakam / ahir bhairav
Kailaasa Pathey Mahaadeva Shambo ,Shiva,"Oh Chief of Gods, Shiva - the Lord of mount Kailas! Sing the names of Lord Shiva.
Victory to Shiva, victory to Sai. You are the destroyer of the three worlds, You are the dispeller 
of fear (of the cycle of birth and death). Victory to Thee, who brings about the dissolution, Oh Lord Shiva",advanced,medium fast,sanskrit / hindi,mayamalavagowla / bhairav
Kailaasa Pathey Sai Karuna Nidhey ,Shiva,"O Lord Sai, residing in Kailas, You hold Ganges in Thy
matted Hair. You are the treasure of compassion. You are the 
Lord of Shirdi and Parthi, Lord of entire creation.",advanced,medium,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Kailaasa Pathey Sai Karuna Nidhey ,Shiva,"O Lord Sai, residing in Kailas, You hold Ganges in Thy
matted Hair. You are the treasure of compassion. You are the 
Lord of Shirdi and Parthi, Lord of entire creation.",advanced,medium slow,sanskrit / hindi,darbari
Lingodbhavakara Lingeshwara ,Shiva,"Creator and Lord of the Lingam, Lord of Parthi, protect me Lord, please give me liberation from the worldly existence.",simple,medium,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Namah Parvathi Pathaye Hara Hara ,Shiva,"Bow to Parvati's Lord, Shiva, Supreme Lord Shiva,
Bestower of Good and Destroyer of Evil, Unchanging Supreme Lord.",intermediate,fast,sanskrit / hindi,mohanam / bhoop
Namah Shivaaya Om Namah Shivaaya ,Shiva,"Hail the Name of Shiva, Om Nama Shiva.
Glory to the Shiva of Rameshwaram . Hail the Name of Shiva",intermediate,medium fast,sanskrit / hindi,revathi / bhairagi bhairav
Namo Namo Nataraja Namo Hara Jata Jhootadhara Shambho ,Shiva,"Salutations to Thee, Hey supreme dancer (Nataraja), the One
having matted locks of hair. Salutations to Thee, the auspicious One, 
the destroyer of demons. Salutations to Thee, the One who frequents 
Puttaparthi, the One full of compassion. Salutations to You, Nataraja!",advanced,medium fast,sanskrit / hindi,tilang
Nandeeshwara Hey Nataraaja ,Shiva,"Chant the many names of Lord: Nandiswara; Nataraja; Nandatmaja;
Hari ; Narayana; Sai; Shiva - wearing serpent on 
neck. I bow to Lord Shiva, who has adorned Himself with snake.",intermediate,slow,sanskrit / hindi,pantuvarali / puriya dhanashri
Nandi Vaahana Nataraaja Harey ,Shiva,"Glory to Shiva, Lord of the cosmic dance who rides the Nandi
bull; who bears the crescent moon, who liberates us from attachment, Lord of Puttaparti, Shiva himself",intermediate,slow,sanskrit / hindi,mayamalavagowla / bhairav
Nataraaja Hey Thripuraari ,Shiva,"O Cosmic Dancer! O Lord Tripurari! Victory to Thee who has the
sacred bull Nandi as His vehicle and serpent as His ornament. 
O Supreme Lord Shiva You have the spiritual wisdom eye on Your 
forehead. Thy Lotus Feet are sanctifying. Kindly grant us protection",advanced,slow,sanskrit / hindi,chakravakam / ahir bhairav
Nataraaja Namami Shankara ,Shiva,"I bow to Lord Shiva, Divine dancer; bestower of knowledge, Lord
of Puttaparti, supreme Lord, Lord of the heart, Lord Sai.",simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Nataraaja Nataraaja Narthana Sundara Nataraaja ,Shiva,"King of dance, beautiful dancer, beloved of Parvati, Lord who
danced at Chidambara, Lord of Puttaparti, Lord Shiva",simple,medium fast,sanskrit / hindi,mishra shivaranjani
Nataraaja Nataraaja Narthana Sundara Nataraaja ,Shiva,"King of dance, beautiful dancer, beloved of Parvati, Lord who
danced at Chidambara, Lord of Puttaparti, Lord Shiva",,,sanskrit / hindi,
Om Namah Shivaaya Shivaaya Namah Om ,Shiva,"Glory to Shiva who rides the Nandi bull, Hear His melodious name, our beloved Sai.",simple,medium,english,minor (shuddha dhanyasi)
Om Namah Shivaaya Shivaaya Namah Om ,Shiva,"Glory to Shiva who rides the Nandi bull, Hear His melodious name, our beloved Sai.",simple,medium,english,minor (shuddha dhanyasi)
Om Namah Shivaaya Shivaaya Namah Om ,Shiva,"Glory to Shiva who rides the Nandi bull, Hear His melodious name, our beloved Sai.",,,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Om Namah Shivaaya Shivaaya Namah Om ,Shiva,"Glory to Shiva who rides the Nandi bull, Hear His melodious name, our beloved Sai.",simple,medium,english,minor (shuddha dhanyasi)
Om Namah Shivaaya Shivaaya Namah Om ,Shiva,"Glory to Shiva who is the embodiment of Pranava (Om) sound.
Let the drum beats begin; let the mridangam (percussion instrument) 
play for the Divine Dancer, Lord Shiva. Glory to You, Lord Shiva",simple,medium,english,minor (shuddha dhanyasi)
Om Namah Shivaaya Shivaaya Namah Om ,Shiva,"Glory to Shiva who is the embodiment of Pranava (Om) sound.
Let the drum beats begin; let the mridangam (percussion instrument) 
play for the Divine Dancer, Lord Shiva. Glory to You, Lord Shiva",simple,medium,english,minor (shuddha dhanyasi)
Om Namah Shivaaya Shivaaya Namah Om ,Shiva,"Glory to Shiva who is the embodiment of Pranava (Om) sound.
Let the drum beats begin; let the mridangam (percussion instrument) 
play for the Divine Dancer, Lord Shiva. Glory to You, Lord Shiva",,,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Om Namah Shivaaya Shivaaya Namah Om ,Shiva,"Glory to Shiva who is the embodiment of Pranava (Om) sound.
Let the drum beats begin; let the mridangam (percussion instrument) 
play for the Divine Dancer, Lord Shiva. Glory to You, Lord Shiva",simple,medium,english,minor (shuddha dhanyasi)
Om Shiva Shambho Jai Shiva Shambho ,Shiva,"Victory to Lord : Shiva; Shambho; Tripurari (destroyer of three
cities); Girija Patey (Lord of Girja); Ganga Dhari (bearer of holy river 
Ganges); Shambha Sada Shiv and Sai Maheswara. Chanting the many 
names of Lord, destroys the fear of cycle of birth and death.",advanced,medium,sanskrit / hindi,mayamalavagowla / bhairav
Om Shivaaya Om Shivaaya ,Shiva,"Chant the mantra, "" Om Shivaya, Shambhoo Shankara Om Shivaya "".",simple,fast,sanskrit / hindi,mohanam / bhoop
Paahi Paahi Parameshwara ,Shiva,"This bhajan is sung to the dancing Form of Lord Shiva, asking for His Protection
Shiva is Lord of Gauri (Shakti). 
The singer is listening to the sound (dama) of Shiva's drum (damaru) 
and watching the slow dancing steps of Shiva (Manohaara, the One Who conquers the mind",intermediate,medium,sanskrit / hindi,hindolam / malkauns
Parvathi Shankari Girija Shankari ,Shiva,"Worship and bow to Mother Sai Shankari, Mother of Universe, born in Parthi",intermediate,medium,sanskrit / hindi,kalyani / yaman
Raksha Raksha Jagdeeshwara ,Shiva,"Protect us, O Lord of Universe. Protect us, O Lord of Parthipuri.
Protect and bless us. Pray Thee to grant us the opportunity to serve Thy Lotus Feet.",simple,fast,sanskrit / hindi,mayamalavagowla / bhairav
Sai Shankar Bhole Shankar ,Shiva,"O Lord Sai Shankar. Thou art extremely compassionate and forgiving.
Chant the name of Sathya Narayana, Sai Shankar. Various 
instruments like 'Damaru, Mrudangam, and Vina' are all the time chanting, ""Narayana, Narayana, Narayana"".",,,sanskrit / hindi,~ miyan ki malhar
Shaila Gireeshwara Uma Maheshwara Kashi Vishweshwara Sada Shiva ,Shiva,"Lord of Mount Kailas, Lord of Uma, Lord of Kashi, Lord of the
Universe, unchanging Lord Shiva",intermediate,medium fast,sanskrit / hindi,shivaranjani
Shambho Mahadeva Gangaadhara ,Shiva,"I surrender to the Lord of Lords, Lord Sai Nath Shambhoo, who has
holy river Ganges in His matted hair and Moon as decoration on fore- head.",,,sanskrit / hindi,hamsadhwani
Shambho Mahadeva Gangaadhara ,Shiva,"I surrender to the Lord of Lords, Lord Sai Nath Shambhoo, who has
holy river Ganges in His matted hair and Moon as decoration on fore- head.",advanced,medium slow,sanskrit / hindi,mishra maand
Shambho Mahadeva Shiva Shambho Mahadeva ,Shiva,"Great Lord Shiva, Bestower of Good, Unchanging Lord of Divine Mother Parvathi
Lord Shiva, Destroyer of evil and worldly fears, Glory to Shiva, our beneficent Lord Sathya Sai",simple,medium slow,sanskrit / hindi,shankarabharanam / bilawal
Shambho Mahadeva Shiva Shambho Mahadeva ,Shiva,"Great Lord Shiva, Bestower of Good, Unchanging Lord of Divine Mother Parvathi
Lord Shiva, Destroyer of evil and worldly fears, Glory to Shiva, our beneficent Lord Sathya Sai",intermediate,medium,sanskrit / hindi,mohanam / bhoop
Shambho Muraarey Shankara Muraarey ,Shiva,Worship Lord Shankar who wears cobra as an ornament on His neck.,simple,medium fast,sanskrit / hindi,vakulabharanam / basant mukhari
Shambho Shankara Deva ,Shiva,"O Lord Shankara!, Sai Mahadeva, please protect us. We seek refuge in You",intermediate,medium fast,sanskrit / hindi,janasammohini
Shambho Shankara Sambha Sadashiva ,Shiva,"Oh Lord Shambho, Shankara, Sadashiva, Maheshwara (different names
for Shiva), You are the One who wears the river Ganga on Your 
matted locks, You are the Divine dancer, You are Sai Shankara of Parthi, victory to You",advanced,medium,sanskrit / hindi,bageshri
Shambho Shankara Sambha Sadashiva ,Shiva,"Oh Lord Shambho, Shankara, Sadashiva, Maheshwara (different names
for Shiva), You are the One who wears the river Ganga on Your 
matted locks, You are the Divine dancer, You are Sai Shankara of Parthi, victory to You",,,sanskrit / hindi,
Shambho Shankara Samba Sada Shiva ,Shiva,Chant the many names of Lord Shiva,advanced,medium,sanskrit / hindi,bageshri
Shambho Shankara Samba Sada Shiva ,Shiva,Chant the many names of Lord Shiva,,,sanskrit / hindi,
Shambho Shiva Shankara ,Shiva,"Worship Lord Shambhoo, Shiva, Shankara and Lord of Gauri. O
Resident of Kailash (pure hearts)! O Lord of Lords! Thy holy 
river Ganges in Thy matted hair and have now incarnated in Parthi as Lord Sai. Kindly protect us.",intermediate,medium,sanskrit / hindi,pahadi
